,Act_T1,Pred_T1
0,177.64,178.15268
1,175,175.81218
2,174.42,174.18245
3,156.09,159.1789
4,162.03,161.92397
5,161.95,161.91693
6,161.97,165.71095
7,170.15,170.84329
8,170.18,171.25072
9,170.28,171.22745
10,171.01,169.22794
11,173.34,168.59612
12,162.47,163.20992
13,164.57,166.78426
14,175.66,173.08034
15,176.51,176.15239
16,179.62,177.54407
17,166.23,171.24158
18,168.4,169.89442
19,170.76,170.77614
20,170.53,172.68684
21,165.63,173.33751
22,168.05,172.38145
23,174.73,173.86888
24,175.49,174.88272
25,172.17,171.03891
26,167.07,168.56737
27,165.98,168.46796
28,163.25,170.84123
29,164.63,169.71796
30,162.51,166.3847
31,160.19,164.68619
32,156.62,162.07175
33,154.89,161.82068
34,168.7,168.77165
35,145.59,153.19951
36,157.12,154.02548
37,172.26,169.82318
38,174.32,173.42084
39,177.38,177.11897
40,175.48,177.64548
41,176.55,176.99028
42,173.89,176.29042
43,176.36,175.45049
44,174.15,175.73982
45,175.95,175.60916
46,176.36,176.81044
47,177.1,177.67029
48,176.89,177.88063
49,181.42,181.2182
50,182.51,182.43187
51,181.36,182.0069
52,178.11,174.79068
53,175.28,170.76852
54,164.05,174.12535
55,161.54,166.03568
56,162.76,166.59384
57,158.83,162.7738
58,147.87,152.03348
59,167.57,165.72269
60,172.13,168.727
61,173.99,173.81464
62,171.68,173.06726
63,173.46,173.15356
64,171.92,173.46455
65,174.36,173.83038
66,181.05,179.13829
67,180.04,176.95067
68,176.75,172.99846
69,181.11,175.33725
70,181.18,177.36943
71,176.44,172.89647
72,176.32,171.19829
73,174.98,171.8621
74,180.1,175.16264
75,181.14,177.37357
76,180.14,174.65857
77,178.82,171.52768
78,173.52,169.05167
79,170.3,167.82367
80,144.88,143.13556
81,156.45,160.52434
82,176.01,170.54158
83,179.45,178.04585
84,181.34,177.84789
85,175.13,171.19777
86,178.98,173.19954
87,177.89,176.49565
88,174.11,171.77773
89,179.15,173.5884
90,178.77,176.13344
91,176.63,172.49374
92,172.81,169.50188
93,176.42,170.59108
94,171.84,170.40059
95,169.73,167.19649
96,169.15,167.7642
97,174.12,171.48927
98,171.68,172.23422
99,172.82,169.24791
100,173.6,171.14691
101,171.1,169.28001
102,171.44,169.93542
103,171.47,170.19028
104,171.21,166.16989
105,158.91,171.09497
106,150.79,159.96504
107,174.16,170.19357
108,161.01,169.90906
109,173.47,166.75877
110,175.6,172.67911
111,177,170.28734
112,175.48,170.6643
113,170.39,173.55191
114,177.72,175.48772
115,175.33,177.09906
116,177.05,178.50725
117,178.74,176.6275
118,178.98,176.33217
119,179.6,176.6952
120,186.84,181.90724
121,181.9,178.98412
122,186.08,177.11014
123,179.89,175.65173
124,173.96,169.8422
125,170.85,165.13774
126,168.77,165.59767
127,168.84,163.97426
128,158.16,162.7624
129,162.87,166.02498
130,164.81,163.5001
131,154.9,157.69725
132,166.24,165.9374
133,155.88,161.60315
134,159.01,159.98627
135,165.1,164.45006
136,166.18,164.56447
137,165.81,162.76074
138,162.1,161.25047
139,157.67,161.2955
140,167.13,166.51562
141,161.52,165.76065
142,164.33,165.5822
143,167.75,165.01656
144,167.36,163.43575
145,168.37,161.27544
146,171.72,163.12589
147,176.69,168.97919
148,171.09,164.67088
149,175.23,165.64012
150,149.99,149.4795
151,166.02,161.90625
152,178.29,176.10689
153,153.28,160.54164
154,164.9,160.98463
155,181.95,178.91583
156,184.36,184.23427
157,185.47,182.726
158,182.57,181.37883
159,185.19,182.5352
160,183.2,184.04102
161,187.17,185.18143
162,195.9,194.57814
163,190.55,188.81021
164,191.67,184.91629
165,190.06,185.06218
166,192.03,184.23932
167,191.85,183.40192
168,192.35,182.97145
169,192.45,182.87445
170,196.48,186.13388
171,198.33,188.61343
172,197.47,186.95966
173,195.31,185.38528
174,171.2,169.68799
175,191.82,182.36409
176,181.95,187.36685
177,194.46,185.68901
178,196.32,190.44926
179,196.5,186.58926
180,194.78,178.59354
181,193.28,176.36807
182,193.25,183.6161
183,197.95,188.61696
184,188.26,189.94397
185,189.67,182.32948
186,189.81,184.68372
187,190.49,183.95837
188,189.85,181.41977
189,189.27,180.96143
190,188.76,180.01146
191,191.36,182.3684
192,194.57,183.34654
193,192.74,181.27037
194,190.56,178.56862
195,184.52,166.84862
196,179.03,163.3021
197,174.71,161.28792
198,174.74,158.70428
199,167.54,160.50197
200,142.28,137.13509
201,153.85,148.46411
202,172.86,167.63394
203,176.16,173.22556
204,179.05,171.34068
205,179.5,170.7875
206,176.25,170.85487
207,176.96,169.45958
208,179.11,171.05078
209,180.77,173.7913
210,179.4,174.32233
211,179.68,169.6884
212,177.73,169.6828
213,178.47,172.28552
214,178.82,173.38911
215,179.15,170.62225
216,177.98,165.51237
217,175.74,166.02808
218,182.26,166.38116
219,178.64,164.64925
220,164.73,158.28423
221,144.74,135.3092
222,151.29,149.98233
223,169.45,164.4686
224,169.62,169.31062
225,172.59,165.25116
226,173.59,165.45505
227,172.77,166.70067
228,173.57,166.58908
229,176.44,167.73444
230,180.29,172.23354
231,176.1,170.57117
232,175.41,165.9386
233,176.43,168.72612
234,176.76,168.26294
235,175.56,164.07283
236,176.28,164.36029
237,175.98,164.18697
238,179.5,166.88033
239,181.1,168.40619
240,180.96,166.67067
241,177.57,163.29771
242,153.5,148.2767
243,161.61,154.68155
244,167.3,166.19946
245,168.04,165.4876
246,172.01,164.31665
247,161.72,159.39545
248,159.18,164.34654
249,167.35,167.0828
250,161.08,160.11418
251,169.46,164.70036
252,174.55,173.11525
253,177.41,173.65697
254,182.93,174.0485
255,181.77,168.0897
256,174.11,163.8913
257,176.52,174.7228
258,182.23,174.94008
259,180.08,180.48279
260,180.65,178.44194
261,181.96,174.8222
262,182.03,173.9006
263,183.25,174.26079
264,187.32,176.26549
265,189.13,179.08693
266,188.58,177.11694
267,190.28,174.56421
268,173.07,165.19092
269,188.37,182.71529
270,168.32,175.62518
271,179.09,177.03671
272,191.17,186.4055
273,195.36,191.72491
274,197.46,193.4109
275,191.11,193.34798
276,193.52,191.96704
277,194.85,190.69482
278,195.33,192.85507
279,197.46,193.93353
280,194.15,190.73471
281,193.73,187.83575
282,191.31,184.96376
283,193.34,184.32733
284,193.03,187.76717
285,192.54,189.48589
286,193.55,190.3404
287,187.72,180.29103
288,182.84,173.41234
289,181.04,172.55023
290,163.3,162.26619
291,169.91,166.11786
292,171.08,169.3854
293,179.45,176.21136
294,179.06,176.87326
295,159.07,158.08406
296,171.17,168.96608
297,178.03,174.81291
298,174.43,176.41154
299,180.2,177.66078
300,182.69,180.37563
301,184.49,182.29956
302,191.55,188.70746
303,192.77,190.48709
304,192.3,189.90224
305,192.91,187.58066
306,187.38,179.93718
307,183.19,174.28836
308,179.45,173.96103
309,155.77,157.03526
310,162.93,159.07368
311,186.52,179.36469
312,173.93,180.22212
313,190.47,182.48204
314,193.25,189.87422
315,194.08,189.07507
316,193.03,187.59564
317,192.21,187.16861
318,183.64,177.86485
319,180.18,174.35132
320,180.73,174.18477
321,179.65,175.66737
322,180.14,174.30907
323,180.47,174.54492
324,180.09,176.36102
325,180.2,174.40523
326,183.7,178.04382
327,182.45,176.97943
328,154.03,155.43684
329,163.86,159.9283
330,168.5,166.1388
331,172.22,165.97897
332,183.81,179.96262
333,183.58,182.6419
334,183.73,176.53125
335,182.15,172.69977
336,186.35,176.29022
337,174.33,173.39091
338,174.81,171.71825
339,188.17,181.60577
340,191.31,186.72269
341,191.89,180.73499
342,180.72,175.80563
343,175.54,179.17593
344,175.85,171.48816
345,176.97,171.3814
346,176.54,169.69415
347,175.75,169.62967
348,176.88,168.6786
349,184.64,176.13918
350,184.59,177.09366
351,184.64,177.12155
352,157.31,154.16245
353,183.37,178.27316
354,164.65,175.00967
355,186.06,176.10022
356,190.56,185.15846
357,187.19,181.66412
358,187.93,178.86166
359,185.42,182.18326
360,186.64,183.86815
361,184.88,182.17772
362,187.22,180.69824
363,188.73,179.65143
364,188.2,178.43997
365,187.86,176.95224
366,184.94,174.84105
367,191.61,181.09618
368,168.71,169.18246
369,172.91,168.99643
370,182.35,178.70366
371,180.44,179.41348
372,181.63,174.95885
373,173.46,172.75108
374,167.31,163.88458
375,176.07,174.62717
376,179.04,176.27937
377,181.29,177.30386
378,179.59,174.6905
379,178.2,171.22282
380,179.38,172.8194
381,177.85,172.51483
382,181.7,175.05049
383,180.59,177.20131
384,178.01,172.71288
385,180.97,173.79538
386,181.86,176.48099
387,176.02,169.79533
388,176.87,169.22205
389,176.85,172.51735
390,186.22,182.33421
391,188.39,184.84256
392,186.67,186.25237
393,188.39,186.41783
394,156.88,156.1451
395,173.51,168.67888
396,164.53,168.13948
